ID_hecho,ID_Caso,ID_persona,Numero_hecho_por_fuerza,Tipo_fuerza,Anio,Mes,Sexo,Situacion_de_Servicio,Personal_Ileso,Personal_Herido,Personal_Fallecido,Civil_Interviniente_Herido,Civil_Interviniente_Fallecido,Civil_Tercero_Herido,Civil_Tercero_Fallecido,Civil_Victima_Herido,Civil_Victima_Fallecido,Provincia,Aglomerado,Partido_Municipio,HORA,Categoria_tipo_de_Hecho,,
PFA_1_2020,1,1,1,PFA,2020,Enero,Masculino,En Servicio,1,0,0,0,0,0,0,0,0,Buenos Aires,Resto de la Provincia,Resto de la Provincia,09:30:00,Intervencion para la Prevencion exclusiva de la vida,,
PFA_1_2020,1,2,1,PFA,2020,Enero,Masculino,En Servicio,1,0,0,0,0,0,0,0,0,Buenos Aires,Resto de la Provincia,Resto de la Provincia,09:30:00,Intervencion para la Prevencion exclusiva de la vida,,
PFA_2_2020,2,3,2,PFA,2020,Enero,Masculino,Fuera de Servicio,1,0,0,1,1,0,0,0,0,Buenos Aires,Sur GBA,Quilmes,15:15:00,intervencion en robo a terceros,,
PFA_3_2020,3,4,3,PFA,2020,Enero,Masculino,Fuera de Servicio,1,0,0,1,0,0,0,0,0,C.A.B.A.,Comuna 4,,19:50:00,Personal policial victima de robo,,
PFA_3_2020,3,5,3,PFA,2020,Enero,Masculino,Fuera de Servicio,1,0,0,0,0,0,0,0,0,C.A.B.A.,Comuna 4,,19:50:00,Personal policial victima de robo,,
PFA_4_2020,4,6,4,PFA,2020,Enero,Femenino,Fuera de Servicio,0,1,0,0,0,0,0,0,0,Buenos Aires,Sur GBA,Lomas de Zamora,13:10:00,Personal policial victima de robo,,
PFA_5_2020,5,7,5,PFA,2020,Enero,Femenino,Fuera de Servicio,1,0,0,0,0,0,0,0,0,Buenos Aires,Oeste GBA,La Matanza,22:30:00,Personal policial victima de robo,,
PFA_6_2020,6,8,6,PFA,2020,Enero,Masculino,Fuera de Servicio,1,0,0,0,1,0,0,0,0,Buenos Aires,Sur GBA,Lanus,22:40:00,Personal policial victima de robo,,
PFA_7_2020,7,9,7,PFA,2020,Enero,Femenino,Fuera de Servicio,1,0,0,0,1,0,0,0,0,Buenos Aires,Sur GBA,Berazategui,04:00:00,Personal Policial Autor de Ilicito ,,
PFA_8_2020,8,10,8,PFA,2020,Enero,Masculino,NO Corresponde,0,1,0,0,1,0,0,0,0,Buenos Aires,Oeste GBA,La Matanza,00:15:00,intervencion en robo a terceros,,
PFA_9_2020,9,11,9,PFA,2020,Enero,Masculino,Fuera de Servicio,1,0,0,0,0,0,0,0,0,Buenos Aires,Sur GBA,Quilmes,00:30:00,Personal policial victima de robo,,
PFA_10_2020,10,12,10,PFA,2020,Enero,Femenino,Fuera de Servicio,1,0,0,0,0,0,0,0,0,Buenos Aires,Oeste GBA,Merlo,22:45:00,Personal policial victima de robo,,
PFA_11_2020,11,13,11,PFA,2020,Enero,Masculino,Fuera de Servicio,1,0,0,0,1,0,0,0,0,Buenos Aires,Sur GBA,Lanus,18:10:00,Personal policial victima de robo,,
PFA_12_2020,12,14,12,PFA,2020,Enero,Masculino,Fuera de Servicio,1,0,0,0,0,0,0,0,0,Buenos Aires,Norte GBA,Pilar,19:45:00,Personal policial victima de robo,,
PFA_13_2020,13,15,13,PFA,2020,Enero,Masculino,Fuera de Servicio,1,0,0,1,0,0,0,0,0,Buenos Aires,Sur GBA,Lanus,02:30:00,Personal policial victima de robo,,
PFA_14_2020,14,16,14,PFA,2020,Enero,Masculino,En Servicio,1,0,0,0,0,0,0,0,0,Buenos Aires,Sur GBA,Lanus,14:30:00,Personal Policial Autor de Ilicito ,,
PFA_15_2020,15,17,15,PFA,2020,Enero,Masculino,Fuera de Servicio,1,0,0,0,0,0,0,0,0,Buenos Aires,Sur GBA,Esteban Echeverria,19:30:00,intervencion en robo a terceros,,
PFA_16_2020,16,18,16,PFA,2020,Enero,Masculino,Fuera de Servicio,1,0,0,0,0,0,0,0,0,Buenos Aires,Resto de la Provincia,Resto de la Provincia,23:30:00,Violencia de genero,,
PFA_17_2020,17,19,17,PFA,2020,Enero,Masculino,Fuera de Servicio,1,0,0,1,0,0,0,0,0,Tucuman,,San Miguel de Tucuman,05:50:00,Personal policial victima de robo,,
PFA_18_2020,18,20,18,PFA,2020,Enero,Masculino,Fuera de Servicio,1,0,0,2,0,0,0,0,0,Buenos Aires,Norte GBA,San Miguel,21:30:00,Personal policial victima de robo,,
PFA_19_2020,19,21,19,PFA,2020,Enero,Masculino,Fuera de Servicio,1,0,0,1,0,0,0,0,1,Buenos Aires,Oeste GBA,La Matanza,10:30:00,intervencion en robo a terceros,,
PFA_20_2020,20,22,20,PFA,2020,Enero,Masculino,En Servicio,1,0,0,0,1,0,0,0,0,Buenos Aires,Oeste GBA,La Matanza,18:40:00,Intervencion como Auxiliar de la Justicia,,
PFA_20_2020,20,23,20,PFA,2020,Enero,Masculino,En Servicio,1,0,0,0,0,0,0,0,0,Buenos Aires,Oeste GBA,La Matanza,18:40:00,Intervencion como Auxiliar de la Justicia,,
PFA_21_2020,21,24,21,PFA,2020,Febrero,Masculino,En Servicio,1,0,0,0,0,0,0,0,0,C.A.B.A.,Comuna 1,,22:30:00,intervencion en robo a terceros,,
PFA_21_2020,21,25,21,PFA,2020,Febrero,Masculino,En Servicio,1,0,0,0,0,0,0,0,0,C.A.B.A.,Comuna 1,,22:30:00,intervencion en robo a terceros,,
PFA_22_2020,22,26,22,PFA,2020,Febrero,Masculino,NO Corresponde,1,0,0,1,0,0,0,0,0,Buenos Aires,Sur GBA,Lomas de Zamora,05:20:00,Personal RETIRADO victima de robo,,
PFA_23_2020,23,27,23,PFA,2020,Febrero,Masculino,Fuera de Servicio,1,0,0,1,0,0,0,0,0,Buenos Aires,Oeste GBA,Moreno,23:45:00,intervencion en robo a terceros,,
PFA_24_2020,24,28,24,PFA,2020,Febrero,Masculino,En Servicio,1,0,0,0,0,0,0,0,0,Mendoza,,,20:30:00,Intervencion como Auxiliar de la Justicia,,
PFA_24_2020,24,29,24,PFA,2020,Febrero,Masculino,En Servicio,1,0,0,0,0,0,0,0,0,Mendoza,,,20:30:00,Intervencion como Auxiliar de la Justicia,,
PFA_24_2020,24,30,24,PFA,2020,Febrero,Masculino,En Servicio,1,0,0,0,0,0,0,0,0,Mendoza,,,20:30:00,Intervencion como Auxiliar de la Justicia,,
PFA_24_2020,24,31,24,PFA,2020,Febrero,Masculino,En Servicio,1,0,0,0,0,0,0,0,0,Mendoza,,,20:30:00,Intervencion como Auxiliar de la Justicia,,
PFA_24_2020,24,32,24,PFA,2020,Febrero,Femenino,En Servicio,1,0,0,0,0,0,0,0,0,Mendoza,,,20:30:00,Intervencion como Auxiliar de la Justicia,,
PFA_24_2020,24,33,24,PFA,2020,Febrero,Masculino,En Servicio,1,0,0,0,0,0,0,0,0,Mendoza,,,20:30:00,Intervencion como Auxiliar de la Justicia,,
PFA_24_2020,24,34,24,PFA,2020,Febrero,Masculino,En Servicio,1,0,0,0,0,0,0,0,0,Mendoza,,,20:30:00,Intervencion como Auxiliar de la Justicia,,
PFA_24_2020,24,35,24,PFA,2020,Febrero,Masculino,En Servicio,1,0,0,0,0,0,0,0,0,Mendoza,,,20:30:00,Intervencion como Auxiliar de la Justicia,,
PFA_24_2020,24,36,24,PFA,2020,Febrero,Masculino,En Servicio,1,0,0,0,0,0,0,0,0,Mendoza,,,20:30:00,Intervencion como Auxiliar de la Justicia,,
PFA_24_2020,24,37,24,PFA,2020,Febrero,Masculino,En Servicio,1,0,0,0,0,0,0,0,0,Mendoza,,,20:30:00,Intervencion como Auxiliar de la Justicia,,
PFA_24_2020,24,38,24,PFA,2020,Febrero,Masculino,En Servicio,1,0,0,0,0,0,0,0,0,Mendoza,,,20:30:00,Intervencion como Auxiliar de la Justicia,,
PFA_24_2020,24,39,24,PFA,2020,Febrero,Femenino,En Servicio,1,0,0,0,0,0,0,0,0,Mendoza,,,20:30:00,Intervencion como Auxiliar de la Justicia,,
PFA_24_2020,24,40,24,PFA,2020,Febrero,Femenino,En Servicio,1,0,0,0,0,0,0,0,0,Mendoza,,,20:30:00,Intervencion como Auxiliar de la Justicia,,
PFA_24_2020,24,41,24,PFA,2020,Febrero,Masculino,En Servicio,1,0,0,0,0,0,0,0,0,Mendoza,,,20:30:00,Intervencion como Auxiliar de la Justicia,,
PFA_24_2020,24,42,24,PFA,2020,Febrero,Masculino,En Servicio,1,0,0,0,0,0,0,0,0,Mendoza,,,20:30:00,Intervencion como Auxiliar de la Justicia,,
PFA_24_2020,24,43,24,PFA,2020,Febrero,Masculino,En Servicio,1,0,0,0,0,0,0,0,0,Mendoza,,,20:30:00,Intervencion como Auxiliar de la Justicia,,
PFA_24_2020,24,44,24,PFA,2020,Febrero,Masculino,En Servicio,1,0,0,0,0,0,0,0,0,Mendoza,,,20:30:00,Intervencion como Auxiliar de la Justicia,,
PFA_24_2020,24,45,24,PFA,2020,Febrero,Masculino,En Servicio,1,0,0,0,0,0,0,0,0,Mendoza,,,20:30:00,Intervencion como Auxiliar de la Justicia,,
PFA_25_2020,25,46,25,PFA,2020,Febrero,Masculino,Fuera de Servicio,1,0,0,0,0,0,0,0,0,Buenos Aires,Oeste GBA,Merlo,23:30:00,intervencion en robo a terceros,,
PFA_26_2020,26,47,26,PFA,2020,Febrero,Femenino,Fuera de Servicio,1,0,0,1,0,0,0,0,0,Buenos Aires,Sur GBA,Quilmes,16:30:00,Personal policial victima de robo,,
PFA_27_2020,27,48,27,PFA,2020,Febrero,Masculino,Fuera de Servicio,1,0,0,0,0,0,0,0,0,Buenos Aires,Sur GBA,Almirante Brown,06:05:00,Violencia en el grupo familiar del personal policial,,
PFA_28_2020,28,49,28,PFA,2020,Febrero,Masculino,Fuera de Servicio,1,0,0,0,0,0,0,0,0,Cordoba,,Cordoba,13:45:00,intervencion en robo a terceros,,
PFA_29_2020,29,50,29,PFA,2020,Febrero,Masculino,En Servicio,1,0,0,1,0,0,0,0,0,Santa Fe,,,21:00:00,intervencion en tareas de prevencion ,,
PFA_29_2020,29,51,29,PFA,2020,Febrero,Masculino,En Servicio,1,0,0,0,0,0,0,0,0,Santa Fe,,,21:00:00,intervencion en tareas de prevencion ,,
PFA_29_2020,29,52,29,PFA,2020,Febrero,Masculino,En Servicio,1,0,0,0,0,0,0,0,0,Santa Fe,,,21:00:00,intervencion en tareas de prevencion ,,
PFA_29_2020,29,53,29,PFA,2020,Febrero,Masculino,En Servicio,1,0,0,0,0,0,0,0,0,Santa Fe,,,21:00:00,intervencion en tareas de prevencion ,,
PFA_29_2020,29,54,29,PFA,2020,Febrero,Masculino,En Servicio,1,0,0,0,0,0,0,0,0,Santa Fe,,,21:00:00,intervencion en tareas de prevencion ,,
PFA_30_2020,30,55,30,PFA,2020,Febrero,Masculino,NO Corresponde,1,0,0,0,1,0,0,0,0,Buenos Aires,Oeste GBA,La Matanza,22:20:00,Personal RETIRADO victima de robo,,
PFA_31_2020,31,56,31,PFA,2020,Febrero,Masculino,Fuera de Servicio,1,0,0,0,0,0,0,0,0,Buenos Aires,Sur GBA,Almirante Brown,22:10:00,Personal policial victima de robo,,
