anio,pais_id,pais_nombre,codigo_delito_snic_id,codigo_delito_snic_nombre,cantidad_hechos,cantidad_victimas
2014,200,ARG,1,Homicidios dolosos,3184,3247
2014,200,ARG,2,Homicidios dolosos en grado de tentativa,1776,1919
2014,200,ARG,3,Muertes en Accidentes Viales,3611,4614
2014,200,ARG,4,Homicidios culposos por otros hechos,1682,1759
2014,200,ARG,5,Lesiones dolosas,171005,183833
2014,200,ARG,6,Lesiones culposas en Accidentes Viales,80026,95032
2014,200,ARG,7,Lesiones culposas por otros hechos,30482,32394
2014,200,ARG,8,Otros delitos contra las personas,50381,51548
2014,200,ARG,9,Delitos contra el honor,856,870
2014,200,ARG,10,Violaciones,3757,3944
2014,200,ARG,11,Otros delitos contra la integridad sexual,9718,10594
2014,200,ARG,12,Delitos contra el estado civil,208,
2014,200,ARG,13,Amenazas,184092,
2014,200,ARG,14,Otros delitos contra la libertad,11832,
2014,200,ARG,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),460468,
2014,200,ARG,16,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),29785,
2014,200,ARG,17,Robos agravados por el resultado de lesiones y/o muertes ,9867,
2014,200,ARG,18,Tentativas de robo agravado por el resultado de lesiones y/o muertes,1490,
2014,200,ARG,19,Hurtos,287063,
2014,200,ARG,20,Tentativas de hurto,11718,
2014,200,ARG,21,Otros delitos contra la propiedad,108320,
2014,200,ARG,22,Delitos contra la seguridad pública,8686,
2014,200,ARG,23,Delitos contra el orden público,15208,
2014,200,ARG,24,Delitos contra la seguridad de la nación,97,
2014,200,ARG,25,Delitos contra los poderes públicos y el orden constitucional,603,
2014,200,ARG,26,Delitos contra la administración pública,30616,
2014,200,ARG,27,Delitos contra la fe pública,6984,
2014,200,ARG,28,Ley 23.737 (estupefacientes),32884,
2014,200,ARG,29,Otros delitos previstos en leyes especiales,37768,
2014,200,ARG,31,Suicidios (consumados),3304,
2015,200,ARG,1,Homicidios dolosos,2744,2837
2015,200,ARG,2,Homicidios dolosos en grado de tentativa,1601,1733
2015,200,ARG,3,Muertes en Accidentes Viales,3630,4340
2015,200,ARG,4,Homicidios culposos por otros hechos,1087,1209
2015,200,ARG,5,Lesiones dolosas,171538,179958
2015,200,ARG,6,Lesiones culposas en Accidentes Viales,84782,98095
2015,200,ARG,7,Lesiones culposas por otros hechos,29680,30766
2015,200,ARG,8,Otros delitos contra las personas,46813,47809
2015,200,ARG,9,Delitos contra el honor,433,451
2015,200,ARG,10,Violaciones,3484,3746
2015,200,ARG,11,Otros delitos contra la integridad sexual,12637,13555
2015,200,ARG,12,Delitos contra el estado civil,156,
2015,200,ARG,13,Amenazas,186753,
2015,200,ARG,14,Otros delitos contra la libertad,11621,
2015,200,ARG,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),433617,
2015,200,ARG,16,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),28934,
2015,200,ARG,17,Robos agravados por el resultado de lesiones y/o muertes ,9416,
2015,200,ARG,18,Tentativas de robo agravado por el resultado de lesiones y/o muertes,1101,
2015,200,ARG,19,Hurtos,271921,
2015,200,ARG,20,Tentativas de hurto,9755,
2015,200,ARG,21,Otros delitos contra la propiedad,107586,
2015,200,ARG,22,Delitos contra la seguridad pública,9009,
2015,200,ARG,23,Delitos contra el orden público,12181,
2015,200,ARG,24,Delitos contra la seguridad de la nación,71,
2015,200,ARG,25,Delitos contra los poderes públicos y el orden constitucional,418,
2015,200,ARG,26,Delitos contra la administración pública,34298,
2015,200,ARG,27,Delitos contra la fe pública,6853,
2015,200,ARG,28,Ley 23.737 (estupefacientes),31541,
2015,200,ARG,29,Otros delitos previstos en leyes especiales,37457,
2015,200,ARG,31,Suicidios (consumados),2879,
2016,200,ARG,1,Homicidios dolosos,2605,2627
2016,200,ARG,2,Homicidios dolosos en grado de tentativa,1657,1779
2016,200,ARG,3,Muertes en Accidentes Viales,3914,4252
2016,200,ARG,4,Homicidios culposos por otros hechos,463,493
2016,200,ARG,5,Lesiones dolosas,142986,149077
2016,200,ARG,6,Lesiones culposas en Accidentes Viales,92824,104667
2016,200,ARG,7,Lesiones culposas por otros hechos,13146,13728
2016,200,ARG,8,Otros delitos contra las personas,55010,55803
2016,200,ARG,9,Delitos contra el honor,627,637
2016,200,ARG,10,Violaciones,3579,3721
2016,200,ARG,11,Otros delitos contra la integridad sexual,8850,9282
2016,200,ARG,12,Delitos contra el estado civil,97,
2016,200,ARG,13,Amenazas,169351,
2016,200,ARG,14,Otros delitos contra la libertad,12165,
2016,200,ARG,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),427473,
2016,200,ARG,16,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),30268,
2016,200,ARG,17,Robos agravados por el resultado de lesiones y/o muertes ,9605,
2016,200,ARG,18,Tentativas de robo agravado por el resultado de lesiones y/o muertes,1005,
2016,200,ARG,19,Hurtos,272128,
2016,200,ARG,20,Tentativas de hurto,10392,
2016,200,ARG,21,Otros delitos contra la propiedad,101213,
2016,200,ARG,22,Delitos contra la seguridad pública,15761,
2016,200,ARG,23,Delitos contra el orden público,9248,
2016,200,ARG,24,Delitos contra la seguridad de la nación,83,
2016,200,ARG,25,Delitos contra los poderes públicos y el orden constitucional,428,
2016,200,ARG,26,Delitos contra la administración pública,37259,
2016,200,ARG,27,Delitos contra la fe pública,6921,
2016,200,ARG,28,Ley 23.737 (estupefacientes),37559,
2016,200,ARG,29,Otros delitos previstos en leyes especiales,36065,
2016,200,ARG,31,Suicidios (consumados),2990,
2017,200,ARG,1,Homicidios dolosos,2227,2315
2017,200,ARG,2,Homicidios dolosos en grado de tentativa,1530,1711
2017,200,ARG,3,Muertes en Accidentes Viales,4193,4730
2017,200,ARG,4,Homicidios culposos por otros hechos,573,642
2017,200,ARG,5,Lesiones dolosas,142122,160040
2017,200,ARG,6,Lesiones culposas en Accidentes Viales,97374,112398
2017,200,ARG,7,Lesiones culposas por otros hechos,7774,8222
2017,200,ARG,8,Otros delitos contra las personas,53283,54153
2017,200,ARG,9,Delitos contra el honor,469,472
2017,200,ARG,10,Violaciones,3723,3926
2017,200,ARG,11,Otros delitos contra la integridad sexual,10552,11286
2017,200,ARG,12,Delitos contra el estado civil,91,
2017,200,ARG,13,Amenazas,177285,
2017,200,ARG,14_1,Trata de personas simple,194,350
2017,200,ARG,14_2,Trata de personas agravado,15,24
2017,200,ARG,14_3,Otros delitos contra la libertad,11174,11862
2017,200,ARG,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),395629,
2017,200,ARG,16,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),29100,
2017,200,ARG,17,Robos agravados por el resultado de lesiones y/o muertes ,9619,
2017,200,ARG,18,Tentativas de robo agravado por el resultado de lesiones y/o muertes,1168,
2017,200,ARG,19,Hurtos,254418,
2017,200,ARG,20,Tentativas de hurto,10214,
2017,200,ARG,21,Otros delitos contra la propiedad,103161,
2017,200,ARG,22_1,Fabricación adquisición transferencia y tenencia de explosivos y otros materiales peligrosos,136,
2017,200,ARG,22_2,Tenencia ilegal de armas de fuego,3314,
2017,200,ARG,22_3,Portación ilegal de armas de fuego,2086,
2017,200,ARG,22_4,Acopio y fabricación ilegal de armas piezas y municiones,73,
2017,200,ARG,22_5,Entrega y comercialización ilegal de armas de fuego,4,
2017,200,ARG,22_6,Omisión adulteración y supresión de marcaje,84,
2017,200,ARG,22_7,Otros delitos contra la seguridad pública,23776,
2017,200,ARG,23,Delitos contra el orden público,9112,
2017,200,ARG,24,Delitos contra la seguridad de la nación,51,
2017,200,ARG,25,Delitos contra los poderes públicos y el orden constitucional,637,
2017,200,ARG,26,Delitos contra la administración pública,42865,
2017,200,ARG,27,Delitos contra la fe pública,9326,
2017,200,ARG,28_1,Siembra y producción de estupefacientes,273,
2017,200,ARG,28_2,Comercialización y entrega de estupefacientes,4513,
2017,200,ARG,28_3,Tenencia o entrega atenuada de estupefacientes,263,
2017,200,ARG,28_4,Desvío de Importación de estupefacientes,45,
2017,200,ARG,28_5,Organización y financiación de estupefacientes,97,
2017,200,ARG,28_6,Tenencia simple de estupefacientes,7965,
2017,200,ARG,28_7,Tenencia simple atenuada para uso personal de estupefacientes,21530,
2017,200,ARG,28_8,Confabulación de estupefacientes,86,
2017,200,ARG,28_9,Contrabando de estupefacientes,1315,
2017,200,ARG,28_10,Otros delitos previstos en la ley 23.737,11271,
2017,200,ARG,29_1,Ley de residuos peligrosos,132,
2017,200,ARG,29_2,Ley de fauna,757,
2017,200,ARG,29_3,Delitos migratorios,218,
2017,200,ARG,29_4,Obstrucción del código aduanero,487,
2017,200,ARG,29_5,Contrabando Simple,6825,
2017,200,ARG,29_6,Contrabando Agravado,302,
2017,200,ARG,29_7,Contrabando de elementos nucleares agresivos químicos armas y municiones,6,
2017,200,ARG,29_8,Otros delitos previstos en leyes especiales,29685,
2017,200,ARG,30,Contravenciones,161897,
2017,200,ARG,31,Suicidios (consumados),3279,3284
2017,200,ARG,32,Delitos contra el orden económico y financiero,783,
2018,200,ARG,1,Homicidios dolosos,2285,2387
2018,200,ARG,2,Homicidios dolosos en grado de tentativa,1462,1598
2018,200,ARG,3,Muertes en Accidentes Viales,4294,4803
2018,200,ARG,4,Homicidios culposos por otros hechos,429,459
2018,200,ARG,5,Lesiones dolosas,135973,142539
2018,200,ARG,6,Lesiones culposas en Accidentes Viales,95718,111890
2018,200,ARG,7,Lesiones culposas por otros hechos,6696,6988
2018,200,ARG,8,Otros delitos contra las personas,59453,61208
2018,200,ARG,9,Delitos contra el honor,560,568
2018,200,ARG,10,Violaciones,4141,4266
2018,200,ARG,11,Otros delitos contra la integridad sexual,12156,12729
2018,200,ARG,12,Delitos contra el estado civil,181,
2018,200,ARG,13,Amenazas,174612,
2018,200,ARG,14_1,Trata de personas simple,192,241
2018,200,ARG,14_2,Trata de personas agravado,24,31
2018,200,ARG,14_3,Otros delitos contra la libertad,10830,11537
2018,200,ARG,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),416329,
2018,200,ARG,16,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),29850,
2018,200,ARG,17,Robos agravados por el resultado de lesiones y/o muertes ,8916,
2018,200,ARG,18,Tentativas de robo agravado por el resultado de lesiones y/o muertes,1310,
